characters,pinyin,meaning
车程,chēchéng,mileage
席,xí,m.[general]
郊遊,jiāoyóu,"outing, excursion"
侵蚀,qīnshí,"corrode, erode"
郊遊,jiāoyóu,"outing, excursion"
出口,chūkǒu,exit
元帅,yuánshuài,"marshal, supreme commander"
外语,wàiyǔ,foreign language
大势,dàshì,"general trend, general trend of events"
升等,shēngděng,go up (in grade/etc.)
工商,gōngshāng,industry and commerce
上空,shàngkōng,"in the sky, overhead"
久久,jiǔjiǔ,"for a long, long time, for a long long time"
不复,búfù,"no more, no longer, more"
礼貌,lǐmào,"courtesy, politeness, manners"
读取,dúqǔ,access
稳定性,wěndìngxìng,"stability, stabilization"
工学院,gōngxuéyuàn,"institute of polytechnic, college of engineering, polytechnic"
生物学,shēngwùxué,biology
大使,dàshǐ,"elchee, embassador, ambassadorial, nuncio, ambassadorship, ambassador"
出狱,chūyū,get out of jail
用意,yòngyì,"intention, purpose"
北医,běiyī,Taipei Medical College
内湖,nèihú,Nei hu
二来,èrlái,conj.: in the second place
口水,kǒushuǐ,"spit, slobber, drivel, spittle, saliva, slaver, drool, dribble"
颠覆,diānfù,"overturn, subvert"
叙述,xùshù,"consideration, delineation, depiction, description"
专人,zhuānrén,person specially assigned for a task/job
闭,bì,"shut, stop, close, stop up, obstruct, switch off, obstruction, turn off, seel"
排放,páifàng,"discharge, drain off (gas/etc.)"
马达,mǎdá,motor
气味,qìwèi,"tang, wind, odor, savor, aurae, tint, flavor, leavening, savour, flavour, leaven, odour, aura, smatch, tinge, smell, smack, scent, taste"
效力,xiàolì,effect
高尔夫球,gāoěrfūqiú,golf ball
终点,zhōngdiǎn,"terminal point, destination, finish line"
教职员,jiàozhíyuán,teaching and administrative staff
桌椅,zhuōyǐ,ordinary household furniture
除去,chúqù,eliminate
卷入,juǎnrù,"be drawn into, be involved in"
高贵,gāoguì,"noble, high"
得多,de5duō,more
连署,liánshǔ,"countersign, cosignatory, sign jointly, cosign"
探望,tànwàng,"look about, visit"
动乱,dòngluàn,"turmoil, upheaval, disturbance"
追随,zhuīsuí,follow
音效,yīnxiào,sound effects
治理,zhìlǐ,"administer, govern, bring under control, put in order"
拖延,tuōyán,"delay, put off"
标签,biāoqiān,"mark, ticket, gummed label, tab, markup, sticker, label, tally, tag"
噁心,ěxīn,"vomit, keck, retch, turn sick, feel nauseated, nauseous, sicken, disgusting"
排放,páifàng,"discharge, drain off (gas/etc.)"
就学,jiùxué,attend school
涨价,zhǎngjià,rise in price
导入,dǎorù,introduce
记忆,jìyì,"remember, recall"
智障,zhìzhàng,retarded
闻,wén,hear
称呼,chēnghū,"call, address"
就学,jiùxué,attend school
进驻,jìnzhù,enter and garrison or be stationed
汇整,huìzhěng,"collect, gather"
悲惨,bēicǎn,"tragic, pathetic, miserable"
逼近,bījìn,"press on towards, approach"
雇主,gùzhǔ,"gaffer, beanfeast, master, governor, boss, employer, hirer"
新郎,xīnláng,"groom, bridegroom"
温泉,wēnquán,"hot_spring, watering_place, thermae, thermal spring, hot spring"
维也纳,wéiyěnà,"capital of Austria, Austrian capital, Vienna"
落下,luòxià,fall/lag behind
农产品,nóngchǎnpǐn,"agricultural products, farm produce"
喜剧,xǐjù,"Thalia, comedy, sock"
聘,pìn,"engage, invite"
脑部,nǎobù,head
痛心,tòngxīn,"lacerate, pained, harrowing, grieved, distressed, deplore"
逼近,bījìn,"press on towards, approach"
落入,luòrù,fall in
碎,suì,"break to pieces, break ... to pieces, garrulous, smash, knap, crumble, gabby, fragmentary, batter, broken"
散文,sǎnwén,prose
指向,zhǐxiàng,"head, point to, hold, point, maneuver, direct, steer, gear, pitch, manouevre, guide"
修正案,xiūzhēngàn,"revised draft, amendment"
空运,kōngyùn,air transport
爬上,páshàng,"get on, bestride, jump on, climb, mount up, hop on, mount, clamber, get_on, climb on"
哈萨克,hāsàkè,"Kazakhstan, Kazak nationality, Kazakh, Kazak(h) ethnic minority (in NW China and former USSR), Kazakstan, Kazak"
肥胖,féipàng,"fat, corpulent"
返乡,fǎnxiāng,return to one's native place
肥胖,féipàng,"fat, corpulent"
个子,gèzi5,"height, stature, build"
辛劳,xīnláo,toil
防卫,fángwèi,defend
抛弃,pāoqì,"dispose, cast aside, toss away, toss, lurch, throw out, put away, reject, abandonment, chuck, ditch, jettison, slough, renounce, flee, throw away, give up, desert, cast out, desolate, doff, chuck_out, fling, jilt, forgo, chuck out, discard, abandon, toss out, cast away, forsake"
好评,hǎopíng,"reputation, high opinion, favorable comment, conceit, favorable review, esteem"
快活,kuàihuó,"merry, cheerful, liven, jaunty, jolly, brighten, happy"
延揽,yánlǎn,recruit talent
依序,yīxù,"in_order, in turn, sequentially, consecutive, in proper order"
辛劳,xīnláo,toil
延揽,yánlǎn,recruit talent
